loan_ref,product_code,date_approved,date_disbursed,first_payment_due,maturity_date,amount_usd,annual_rate_pct,term_months,payment_frequency,loan_purpose,client_gender,client_dob,marital_status,num_dependents,employment_sector,months_at_employer,monthly_income_usd,existing_obligations,collateral_type,disbursement_channel,province,defaulted
EC52167,4,6/6/2025,23/6/2025,4/8/2025,7/6/2028,12351.74,18.03,36,Monthly,Equipment,Female,24-Dec-82,Married,3,Transport,160,533.89,4,Savings,Cash,Masvingo,0
TS10523,1,16/8/2025,18/8/2025,28/9/2025,13/8/2026,7108.35,12.91,12,Monthly,Business_Expansion,Female,24-May-92,Married,3,Mining,38,855.64,1,Property,InnBucks,Mashonaland_East,1
QJ03306,0,20/8/2025,2/9/2025,9/10/2025,23/8/2027,11561.68,120.97,24,Monthly,Stock_Purchase,Male,10-Sep-62,Married,1,Finance,46,,0,None,OneMoney,Harare,0
JP96762,4,24/10/2024,5/11/2024,18/12/2024,31/10/2025,16211.94,21.09,12,Monthly,Vehicle,Male,18-Jun-63,Married,6,Construction,78,853.86,2,Property,Cash,Mashonaland_West,0
BW77983,3,23/11/2025,6/12/2025,10/1/2026,4/6/2026,2647.2,14.73,6,Monthly,Medical,Male,28-Nov-94,Married,5,Retail_Trade,30,889.94,0,None,OneMoney,Matabeleland_South,1
IZ48113,1,20/3/2025,9/4/2025,22/5/2025,1/10/2026,5662.49,117.21,18,Monthly,Stock_Purchase,Female,11-Jul-70,Single,7,Education,154,513.39,2,Guarantor,Cash,Manicaland,0
SU85097,0,20/10/2025,8/11/2025,19/12/2025,7/5/2026,3196.15,135.06,6,Monthly,Funeral,Female,17-May-78,Married,2,Agriculture,83,352.09,8,None,Cash,Matabeleland_North,0
EQ79370,1,10/1/2026,28/1/2026,6/3/2026,12/1/2029,2367.41,117.38,36,Monthly,Equipment,Male,31-Oct-87,Single,2,Agriculture,63,301.94,3,Savings,Bank_Transfer,Harare,0
WQ19965,3,6/9/2025,18/9/2025,28/10/2025,12/3/2027,3073.81,15.34,18,Monthly,School_Fees,Male,18-Aug-84,Married,3,Transport,43,842.13,2,None,EcoCash,Bulawayo,0
LS09718,4,14/9/2025,23/9/2025,25/10/2025,7/9/2028,16490.78,17.39,36,Monthly,Home_Improvement,Female,14-Feb-61,Married,5,Transport,45,566.96,4,Guarantor,EcoCash,Bulawayo,0
SL41089,5,2/9/2025,4/9/2025,10/10/2025,3/12/2025,737.35,156.18,3,Monthly,Personal,Male,25-Aug-59,Single,3,Transport,69,618.21,1,Property,EcoCash,Mashonaland_Central,1
KK34629,3,3/11/2025,15/11/2025,27/12/2025,10/11/2026,3170.3,15.16,12,Monthly,Medical,Male,9-Jan-86,Divorced,3,Finance,43,576,0,Guarantor,Cash,Masvingo,0
QK50490,0,6/5/2025,11/5/2025,19/6/2025,7/11/2025,3908.85,117.6,6,Monthly,Livestock,Male,17-Sep-79,Divorced,4,Mining,40,1058.37,0,,EcoCash,Manicaland,0
NW32289,3,3/11/2025,24/11/2025,8/1/2026,23/5/2026,1456.55,14.17,6,Monthly,Personal,Male,28-Oct-94,Married,3,Informal_Sector,17,365.96,0,Vehicle,InnBucks,Mashonaland_West,0
TT46077,0,16/1/2026,23/1/2026,5/3/2026,18/1/2027,1698.81,,12,Bi-Weekly,Business_Expansion,Male,31-May-82,Divorced,8,Finance,116,1240.48,3,Guarantor,EcoCash,Midlands,0
TW06043,3,22/10/2024,27/10/2024,2/12/2024,25/4/2025,1153.1,16.88,6,Monthly,Rent,Female,15-Jul-69,Married,2,Manufacturing,93,464,3,Guarantor,EcoCash,Matabeleland_North,0
QF38958,4,20/4/2025,23/4/2025,5/6/2025,7/4/2028,8545,91.82,36,Monthly,Equipment,Male,30-Nov-93,Married,1,Healthcare,28,346.86,3,None,Cash,Matabeleland_South,1
NZ96773,0,30/1/2025,18/2/2025,19/3/2025,17/8/2025,918.69,153.56,6,Monthly,Medical,Male,6-Feb-99,Married,6,Manufacturing,35,417.16,1,Guarantor,Bank_Transfer,Matabeleland_North,0
XF75661,0,5/2/2026,21/2/2026,24/3/2026,22/5/2026,2105.19,17.17,3,Monthly,Business_Expansion,Male,4-Jan-86,Single,3,Construction,24,310.34,0,Vehicle,EcoCash,Mashonaland_West,0
IE07323,4,19/5/2025,22/5/2025,26/6/2025,13/11/2026,10704.32,18.01,18,Weekly,Vehicle,Male,19-Apr-03,Single,1,Informal_Sector,7,294.14,1,Livestock,EcoCash,Harare,0
HL88868,2,25/1/2026,6/2/2026,21/3/2026,27/1/2028,2715.79,71.47,24,Monthly,Farming_Inputs,Female,16-Sep-71,Single,2,Retail_Trade,92,409.87,3,,Bank_Transfer,Bulawayo,0
HN84568,2,15/9/2025,24/9/2025,4/11/2025,19/9/2026,1330.69,10.69,12,Bi-Weekly,Equipment,Male,18-Feb-73,Married,3,Transport,34,554.1,0,None,Cash,Mashonaland_West,0
FU94664,1,7/10/2024,15/10/2024,28/11/2024,13/4/2025,3145.51,107.04,6,Monthly,Business_Expansion,Female,16-Jun-67,Married,5,Informal_Sector,23,195.33,1,Vehicle,Bank_Transfer,Mashonaland_East,0
GC38306,2,23/5/2025,30/5/2025,28/6/2025,24/2/2026,3910.95,15.05,9,Monthly,Farming_Inputs,Male,17-Mar-97,Married,2,Education,89,366.13,0,Property,Bank_Transfer,Masvingo,0
TJ65932,1,27/11/2025,18/12/2025,14/1/2026,2/12/2028,7818.5,13.31,36,Bi-Weekly,Working_Capital,Male,27-Sep-81,Married,2,Government,204,826.86,0,Property,EcoCash,Mashonaland_East,0
ZE32958,0,4/6/2025,19/6/2025,14/7/2025,16/12/2025,1730.47,109.63,6,Monthly,Livestock,Male,22-Oct-63,Married,3,Informal_Sector,32,296.76,2,Savings,EcoCash,Mashonaland_West,1
IJ06989,3,16/7/2025,17/7/2025,15/8/2025,8/1/2027,1844.05,14.22,18,Monthly,School_Fees,Male,14-May-87,Single,3,Informal_Sector,10,511.77,0,None,EcoCash,Harare,0
EP94195,2,16/2/2026,24/2/2026,8/4/2026,19/2/2027,1320.4,108.66,12,Monthly,Livestock,Female,15-Jul-00,Single,4,Agriculture,15,169.91,3,Guarantor,Bank_Transfer,Harare,1
OU13234,2,2/11/2025,4/11/2025,8/12/2025,25/10/2027,2771.72,70.93,24,Monthly,Working_Capital,Female,30-Mar-90,Single,4,Agriculture,,325.39,2,Livestock,InnBucks,Harare,0
KY97714,4,4/1/2025,25/1/2025,2/3/2025,19/7/2026,8204.4,17.95,18,Monthly,Vehicle,Female,4-Aug-90,Divorced,3,Manufacturing,139,392.38,1,Guarantor,EcoCash,Manicaland,0
PI17429,0,13/7/2025,20/7/2025,28/8/2025,16/1/2026,8882.18,144.66,6,Monthly,School_Fees,Male,6-Mar-00,Divorced,3,Finance,31,1638.46,4,None,EcoCash,Mashonaland_West,0
RG21803,2,9/9/2025,28/9/2025,28/10/2025,25/6/2026,1101.92,14.74,9,Monthly,Farming_Inputs,Female,9-Oct-65,Married,3,Agriculture,,262.55,0,Savings,EcoCash,Bulawayo,0
OM63546,0,3/1/2025,9/1/2025,12/2/2025,9/4/2025,2006.23,119.16,3,Monthly,Livestock,Male,17-Sep-01,Single,2,Manufacturing,,459.98,0,None,Cash,Harare,1
IN12407,2,30/12/2024,10/1/2025,7/2/2025,31/12/2026,2639.53,104.08,24,Weekly,Farming_Inputs,Male,10-Feb-91,Single,1,Retail_Trade,62,336.33,0,Livestock,EcoCash,Mashonaland_Central,0
OM26290,1,9/6/2025,11/6/2025,19/7/2025,6/6/2026,12742.94,103.23,12,Monthly,Business_Expansion,Female,6-Feb-93,Married,3,Education,5,468.26,1,,Bank_Transfer,Bulawayo,0
LC91422,1,9/4/2025,25/4/2025,25/5/2025,20/4/2026,3458.98,93.84,12,Monthly,Business_Expansion,Male,20-Mar-97,Married,,Healthcare,18,241.13,1,,EcoCash,Harare,0
ZA25191,0,28/5/2025,31/5/2025,6/7/2025,29/8/2025,727.53,16.04,3,Monthly,Stock_Purchase,Male,14-Apr-04,Single,3,Agriculture,32,151.6,4,None,Bank_Transfer,Bulawayo,1
CK56990,2,16/5/2025,28/5/2025,27/6/2025,22/2/2026,2755.96,13.58,9,Monthly,Farming_Inputs,Female,4-Mar-76,Married,7,Informal_Sector,48,222.89,0,Livestock,Cash,Mashonaland_East,0
AS03026,2,23/7/2025,31/7/2025,8/9/2025,22/1/2027,17371.12,14.88,18,Monthly,Farming_Inputs,Male,2-Mar-65,Widowed,2,Government,57,1008.43,4,None,Cash,Mashonaland_Central,0
KJ65898,2,20/12/2024,29/12/2024,28/1/2025,25/9/2025,4037.06,110.19,9,Monthly,Farming_Inputs,Male,21-Jan-86,Married,3,Informal_Sector,32,276.52,1,Livestock,EcoCash,Mashonaland_Central,1
ZV78503,4,14/3/2025,22/3/2025,28/4/2025,13/9/2026,23400.42,100.86,18,Monthly,Home_Improvement,Female,15-Jun-78,Divorced,3,Telecom,28,2084.33,1,Guarantor,Bank_Transfer,Mashonaland_East,0
HC94441,3,28/5/2025,8/6/2025,7/7/2025,30/11/2026,2700.92,17.42,18,Monthly,Rent,Male,28-Jun-05,Single,2,Government,35,838.24,3,,Cash,Manicaland,0
JZ48802,3,17/11/2025,2/12/2025,1/1/2026,26/5/2027,2192.72,86.86,18,Monthly,Medical,Male,21-Apr-98,Married,3,Government,23,853.9,2,None,EcoCash,Manicaland,0
ZZ49166,2,10/7/2025,26/7/2025,22/8/2025,22/4/2026,18259.75,100.57,9,Weekly,Farming_Inputs,Male,25-Apr-76,Divorced,3,Finance,102,,0,Guarantor,OneMoney,Midlands,0
FB14948,0,10/6/2025,11/6/2025,15/7/2025,6/6/2026,2509.03,15.22,12,Monthly,Stock_Purchase,Male,23-Dec-00,Married,2,Retail_Trade,18,,2,Guarantor,EcoCash,Harare,0
US32062,4,17/7/2025,21/7/2025,22/8/2025,16/7/2026,2641.73,16.89,12,Monthly,Vehicle,Male,5-Dec-73,Married,6,Agriculture,73,136.38,2,None,Cash,Harare,0
RA91113,0,29/10/2025,12/11/2025,23/12/2025,2/11/2027,3886.66,89.15,24,Monthly,Equipment,Male,25-Mar-77,Married,4,Finance,104,1811.41,1,Vehicle,Cash,Harare,0
ZS56101,4,23/7/2025,6/8/2025,9/9/2025,28/1/2027,12067.14,18.77,18,Monthly,Vehicle,Male,23-Jul-66,Married,1,Telecom,76,488.8,1,Guarantor,EcoCash,Midlands,0
RN05986,2,18/1/2025,2/2/2025,7/3/2025,27/7/2026,4245.69,14.27,18,Monthly,Equipment,Female,2-May-91,Single,,Retail_Trade,43,762.52,1,Livestock,Cash,Mashonaland_East,0
RC73844,3,17/1/2025,5/2/2025,9/3/2025,31/1/2026,843.02,15.52,12,Monthly,Medical,Male,9-Sep-98,Divorced,2,Transport,3,352.61,1,Guarantor,InnBucks,Mashonaland_East,0
JZ77912,5,18/7/2025,30/7/2025,28/8/2025,29/8/2025,706.58,149.64,1,Bi-Weekly,Personal,Female,17-Jun-83,Married,4,Retail_Trade,151,370.76,5,,OneMoney,Harare,0
UK44264,2,7/12/2024,18/12/2024,23/1/2025,8/12/2026,4412.9,11.57,24,Monthly,Farming_Inputs,Male,23-May-03,Single,2,Retail_Trade,10,595.1,2,Livestock,InnBucks,Matabeleland_North,0
AY20593,4,30/1/2025,13/2/2025,27/3/2025,29/1/2028,34922.96,71.92,36,Monthly,Equipment,Male,5-Mar-90,Single,0,Mining,53,1552.21,3,Property,InnBucks,Midlands,1
FX47915,3,10/8/2025,20/8/2025,21/9/2025,15/8/2026,1833.88,19.36,12,Monthly,Rent,Male,6-Jul-78,Married,2,Healthcare,,480.77,2,Guarantor,EcoCash,Harare,0
VL64984,0,10/8/2025,18/8/2025,23/9/2025,13/8/2026,4228.7,166.16,12,Bi-Weekly,Funeral,Male,11-Aug-92,Divorced,3,Retail_Trade,135,994.07,1,Property,EcoCash,Midlands,0
PC02590,1,20/12/2024,21/12/2024,4/2/2025,6/12/2027,2747.17,145.65,36,Weekly,Stock_Purchase,Male,21-Jul-91,Married,3,Transport,22,218.23,3,None,EcoCash,Midlands,0
UF93742,0,24/11/2025,8/12/2025,10/1/2026,6/6/2026,1306.76,156.87,6,Monthly,School_Fees,Male,12-Mar-74,Divorced,3,Retail_Trade,30,355.94,6,None,EcoCash,Masvingo,1
BF78851,4,13/12/2025,19/12/2025,28/1/2026,9/12/2027,3729.15,80.75,24,Monthly,Equipment,Female,20-Jan-90,Married,3,Retail_Trade,32,186.22,2,Guarantor,Cash,Mashonaland_West,0
KN09785,0,15/4/2025,4/5/2025,13/6/2025,2/8/2025,1132.54,127.47,3,Monthly,Equipment,Female,28-Jul-70,Widowed,2,Agriculture,38,253.41,3,Guarantor,InnBucks,Mashonaland_Central,1
FH59749,2,30/11/2025,4/12/2025,1/1/2026,29/11/2026,1248.36,10.84,12,Monthly,Farming_Inputs,Male,21-Dec-76,Married,4,Agriculture,117,205.54,3,Savings,Cash,Mashonaland_Central,1
EK18262,2,19/12/2024,23/12/2024,28/1/2025,19/9/2025,3039.12,89.6,9,Weekly,Livestock,Male,20-Mar-93,Single,3,Manufacturing,82,375.46,1,Livestock,Bank_Transfer,Harare,0
CR45302,3,20/12/2025,6/1/2026,16/2/2026,30/6/2027,2493.05,15.13,18,Monthly,Medical,Female,18-Nov-04,Single,1,Informal_Sector,12,571.89,1,Savings,Bank_Transfer,Mashonaland_West,0
GZ01579,1,22/11/2025,5/12/2025,12/1/2026,29/5/2027,6579.12,110.12,18,Weekly,Business_Expansion,Male,30-Jun-90,Single,2,Agriculture,141,,2,Vehicle,Cash,Manicaland,1
DN55027,1,25/3/2025,12/4/2025,27/5/2025,4/10/2026,4802.12,107.41,18,Weekly,Equipment,Female,2-Aug-04,Single,0,Agriculture,12,177.76,4,None,Bank_Transfer,Harare,1
HO69232,2,30/9/2025,18/10/2025,19/11/2025,8/10/2027,2859.56,10.14,24,Weekly,Farming_Inputs,Male,13-Feb-97,Divorced,2,Transport,43,486.26,5,Property,Bank_Transfer,Harare,0
DP56009,0,7/9/2025,24/9/2025,23/10/2025,23/3/2026,1532.84,110.41,6,Monthly,Vehicle,Male,9-Feb-65,Divorced,2,Government,96,,1,Savings,EcoCash,Mashonaland_West,1
XR73026,1,3/9/2025,7/9/2025,15/10/2025,6/3/2026,3616.13,13.86,6,Monthly,Equipment,Male,12-Nov-75,Married,5,Manufacturing,92,249.23,1,None,EcoCash,Harare,1
UD17894,2,25/1/2025,3/2/2025,11/3/2025,2/8/2025,9103.04,14.16,6,Monthly,Working_Capital,Female,18-Jun-00,Married,4,Retail_Trade,3,891.38,1,Livestock,Bank_Transfer,Masvingo,0
GW71521,2,24/2/2025,28/2/2025,5/4/2025,27/8/2025,3274.56,15.08,6,Monthly,Working_Capital,Male,11-Aug-98,Married,2,Government,53,758.44,3,Savings,OneMoney,Harare,0
XL82279,0,7/9/2025,9/9/2025,4/10/2025,8/3/2026,650.63,122.23,6,Weekly,Working_Capital,Female,28-Oct-92,Married,,Informal_Sector,8,82.77,2,Vehicle,Cash,Harare,1
PU78187,0,1/10/2025,6/10/2025,11/11/2025,30/3/2027,1120.36,150.8,18,Monthly,Working_Capital,Female,20-Jun-85,Married,5,Government,26,338.35,3,None,OneMoney,Manicaland,1
OZ82520,0,29/12/2025,16/1/2026,12/2/2026,16/4/2026,1668.21,14.63,3,Monthly,Farming_Inputs,Female,28-Mar-72,Widowed,2,Manufacturing,104,1026.16,2,Guarantor,EcoCash,Manicaland,0
QE39908,3,13/1/2026,30/1/2026,27/2/2026,25/1/2027,1825.03,13.62,12,Monthly,Debt_Consolidation,Female,10-Jul-84,Married,3,Construction,7,616.6,0,None,OneMoney,Manicaland,0
LV22498,4,30/9/2025,19/10/2025,19/11/2025,3/10/2028,9236.85,14.75,36,Monthly,Home_Improvement,Male,16-Aug-86,Married,3,Construction,27,292.82,0,Vehicle,OneMoney,Harare,0
PY31234,5,7/2/2025,20/2/2025,19/3/2025,21/4/2025,976.77,119.33,2,Monthly,Rent,Male,31-Jan-65,Single,5,Government,190,523.15,3,Savings,InnBucks,Midlands,0
BD55292,1,7/7/2025,12/7/2025,9/8/2025,7/7/2026,2829.21,13.13,12,Monthly,Equipment,Female,30-Jul-89,Widowed,0,Informal_Sector,11,199.43,0,Savings,Cash,Mashonaland_East,0
FR74343,0,15/7/2025,17/7/2025,26/8/2025,13/1/2026,1098.41,99.44,6,Bi-Weekly,Vehicle,Male,9-Aug-82,Single,1,Agriculture,49,208,1,None,Cash,Matabeleland_South,1
JG91205,5,17/11/2025,18/11/2025,17/12/2025,17/5/2026,665.99,166.24,6,Monthly,Personal,Male,14-Apr-01,Married,2,Construction,20,415.71,1,Vehicle,InnBucks,Harare,0
QV98508,5,21/9/2025,5/10/2025,3/11/2025,3/4/2026,618.21,149.53,6,Monthly,Rent,Male,17-Oct-93,Married,5,Informal_Sector,7,515.05,2,None,EcoCash,Midlands,0
MK67148,1,6/12/2024,26/12/2024,9/2/2025,11/12/2027,5757.73,16.98,36,Monthly,Business_Expansion,Female,14-Jan-80,Married,3,Education,24,247.58,2,Savings,EcoCash,Harare,0
IZ11155,0,4/6/2025,10/6/2025,11/7/2025,7/12/2025,2715.24,120.72,6,Monthly,Home_Improvement,Male,27-May-96,Divorced,3,Healthcare,52,985.74,1,Savings,EcoCash,Midlands,1
UN11816,2,4/5/2025,18/5/2025,16/6/2025,14/11/2025,2818.02,10.6,6,Monthly,Working_Capital,Female,6-Aug-85,Divorced,2,,75,345.6,1,Guarantor,Cash,Manicaland,0
KO71967,0,22/11/2025,25/11/2025,3/1/2026,19/5/2027,4003.96,130.56,18,Monthly,Personal,Female,26-Apr-72,Married,6,Government,99,728.65,4,Guarantor,Cash,Manicaland,1
TT09817,2,7/2/2026,15/2/2026,28/3/2026,10/2/2027,5261.03,13.89,12,Monthly,Farming_Inputs,Male,16-Oct-92,Married,1,Retail_Trade,111,423.18,3,Savings,EcoCash,Mashonaland_West,1
GO27782,4,5/5/2025,24/5/2025,2/7/2025,15/11/2026,10658.16,17.13,18,Monthly,Vehicle,Female,30-Jul-82,Married,3,Education,120,605.71,0,Livestock,Bank_Transfer,Harare,0
TA40138,2,20/11/2024,1/12/2024,2/1/2025,28/8/2025,11705.23,142.44,9,Monthly,Equipment,Female,17-Jul-94,Married,2,Finance,100,2199.54,1,Property,EcoCash,Harare,0
YP93907,1,27/11/2025,8/12/2025,15/1/2026,22/11/2028,2889.37,16.21,36,Bi-Weekly,Business_Expansion,Male,5-Sep-89,Divorced,2,Construction,42,,0,Savings,Bank_Transfer,Harare,1
VP86613,2,19/10/2024,4/11/2024,9/12/2024,30/10/2025,15640.69,128.85,12,Bi-Weekly,Farming_Inputs,Male,29-Mar-04,Single,2,Mining,17,1755.52,4,Livestock,OneMoney,Harare,0
CM44982,3,14/4/2025,17/4/2025,27/5/2025,12/4/2026,865.06,77.38,12,Monthly,Debt_Consolidation,Female,11-Nov-64,Married,6,Agriculture,143,355.58,0,Property,Bank_Transfer,Harare,0
FK29866,0,7/11/2025,11/11/2025,14/12/2025,6/11/2026,3747.47,158.74,12,Monthly,Farming_Inputs,Male,25-Jun-88,Married,3,Healthcare,133,542.76,2,Guarantor,EcoCash,Masvingo,0
WC85813,0,27/8/2025,28/8/2025,27/9/2025,23/8/2026,353.86,103.6,12,Bi-Weekly,Livestock,Male,22-Apr-82,Married,5,Informal_Sector,30,83.2,0,None,EcoCash,Manicaland,0
CN62358,0,24/10/2025,29/10/2025,28/11/2025,24/10/2026,413.38,119.6,12,Monthly,Medical,Female,31-Jan-95,Divorced,5,Informal_Sector,12,153.51,1,None,Bank_Transfer,Bulawayo,0
XJ68392,1,4/12/2024,25/12/2024,28/1/2025,20/12/2025,2480.68,12.06,12,Monthly,Working_Capital,Female,19-Jul-87,Single,3,Agriculture,103,287.51,4,None,InnBucks,Matabeleland_North,0
VC42125,2,13/5/2025,3/6/2025,28/6/2025,25/11/2026,4866.23,15.2,18,Monthly,Farming_Inputs,Male,14-Jul-02,Married,0,NGO,29,866.88,3,Property,Bank_Transfer,Mashonaland_West,0
MN30107,5,29/12/2025,6/1/2026,6/2/2026,6/4/2026,1435.34,157.33,3,Monthly,Funeral,Male,5-Mar-97,Single,,Retail_Trade,46,884.12,1,Savings,InnBucks,Matabeleland_South,1
JS38214,4,20/2/2025,11/3/2025,5/4/2025,24/2/2028,45657.13,85.72,36,Monthly,Vehicle,Female,10-Feb-71,Married,7,Mining,78,1466.84,8,Vehicle,EcoCash,Harare,0
MM45175,2,17/7/2025,26/7/2025,21/8/2025,21/7/2026,3497.59,16.42,12,Bi-Weekly,Farming_Inputs,Male,16-Nov-98,Single,0,Agriculture,8,260.86,1,Livestock,Cash,Masvingo,0
DD99510,3,29/10/2024,14/11/2024,13/12/2024,9/11/2025,2859.5,10.72,12,Monthly,School_Fees,Female,23-Nov-95,Married,4,Retail_Trade,28,1016.79,1,Guarantor,Bank_Transfer,Masvingo,0
AQ37202,0,8/2/2026,13/2/2026,14/3/2026,12/8/2026,7720.3,121.28,6,Monthly,Medical,Female,4-Mar-64,Divorced,6,Telecom,21,1687.63,1,Savings,InnBucks,Midlands,0
GW51528,1,1/10/2024,2/10/2024,9/11/2024,27/9/2025,8093.61,126.26,12,Monthly,Working_Capital,Female,23-Apr-71,Divorced,5,Retail_Trade,86,851.54,1,None,EcoCash,Bulawayo,0
VR77337,2,3/4/2025,17/4/2025,1/6/2025,12/4/2026,8521.53,15.54,12,Monthly,Farming_Inputs,Male,17-Oct-07,Single,0,NGO,2,1118.62,1,Savings,EcoCash,Mashonaland_West,0
UN46601,2,9/9/2025,28/9/2025,27/10/2025,18/9/2027,3333.64,13.28,24,Monthly,Farming_Inputs,Male,6-Jul-80,Married,6,Retail_Trade,43,,0,Livestock,InnBucks,Mashonaland_West,0
OY20965,0,13/4/2025,27/4/2025,28/5/2025,22/4/2026,2095.44,123.31,12,Bi-Weekly,Livestock,Female,23-Dec-84,Divorced,1,Finance,55,997.47,1,Livestock,Bank_Transfer,Mashonaland_West,0
AU96938,1,17/1/2025,20/1/2025,17/2/2025,19/7/2025,10934.24,121.06,6,Monthly,Working_Capital,Male,6-Apr-69,Widowed,2,Education,33,543.45,0,Property,Bank_Transfer,Bulawayo,1
EO96078,2,3/12/2025,20/12/2025,15/1/2026,18/6/2026,3567.37,108,6,Monthly,Livestock,Male,28-Oct-82,Single,0,,13,,1,Guarantor,EcoCash,Bulawayo,1
UN33974,2,11/1/2025,29/1/2025,12/3/2025,28/7/2025,12648.69,9.91,6,Monthly,Working_Capital,Male,26-Jun-85,Single,0,Manufacturing,33,879.92,2,Livestock,Cash,Masvingo,0
VT46547,0,29/1/2025,1/2/2025,26/2/2025,31/7/2025,868.63,101.5,6,Bi-Weekly,Wedding,Female,2-Sep-92,Single,3,Agriculture,18,273.29,4,Guarantor,Bank_Transfer,Bulawayo,0
AS14913,5,24/3/2025,4/4/2025,18/5/2025,1/10/2025,105.85,155.09,6,Weekly,Funeral,Male,30-Dec-72,Divorced,1,Informal_Sector,35,77.93,0,None,OneMoney,Mashonaland_Central,1
QX91291,3,20/1/2026,3/2/2026,11/3/2026,29/1/2027,1616.68,13.18,12,Weekly,Rent,Male,24-Oct-91,Married,3,Government,81,614.59,1,Guarantor,EcoCash,Mashonaland_East,0
VR37512,3,24/9/2025,30/9/2025,28/10/2025,25/9/2026,1220.9,12.09,12,Monthly,Medical,Male,7-Jan-75,Married,,Construction,26,617.01,0,None,Bank_Transfer,Bulawayo,0
HY22561,0,17/8/2025,4/9/2025,2/10/2025,30/8/2026,2621.41,144.41,12,Monthly,Equipment,Male,30-Apr-84,Married,3,Informal_Sector,9,397.81,2,Vehicle,EcoCash,Midlands,1
LB59099,3,20/10/2024,9/11/2024,10/12/2024,4/11/2025,711,13.14,12,Monthly,Debt_Consolidation,Male,30-Jul-73,Widowed,3,Informal_Sector,41,218.42,1,Savings,EcoCash,Masvingo,1
VX59948,1,1/4/2025,17/4/2025,16/5/2025,7/4/2027,4104.28,91.03,24,Monthly,Stock_Purchase,Male,1-Apr-81,Married,5,Education,35,,6,Guarantor,Bank_Transfer,Harare,0
MO27739,3,1/4/2025,13/4/2025,27/5/2025,8/4/2026,544.97,17.71,12,Monthly,School_Fees,Female,22-Oct-84,Single,3,Informal_Sector,19,263.46,0,Guarantor,Cash,Mashonaland_East,0
SY22693,1,18/10/2025,28/10/2025,2/12/2025,21/4/2027,12025.73,110.23,18,Monthly,Business_Expansion,Female,31-Mar-83,,4,Retail_Trade,95,695.73,2,Vehicle,Bank_Transfer,Manicaland,0
DJ82346,5,30/3/2025,17/4/2025,12/5/2025,17/5/2025,628.34,157.6,1,Monthly,,Male,25-Aug-90,Married,2,Manufacturing,91,580.79,2,None,EcoCash,Mashonaland_West,0
OO00028,5,27/9/2025,13/10/2025,14/11/2025,12/12/2025,144.75,20.08,2,Weekly,Personal,Female,9-Dec-79,Married,6,Informal_Sector,12,77.13,0,None,InnBucks,Midlands,1
WP08673,3,2/6/2025,20/6/2025,2/8/2025,17/12/2025,1861.63,11.6,6,Bi-Weekly,School_Fees,Female,18-Apr-00,Single,4,Construction,7,357.65,1,Vehicle,InnBucks,Manicaland,0
HT85584,0,18/4/2025,3/5/2025,1/6/2025,30/10/2025,3053.01,17.27,6,Monthly,Vehicle,Female,31-Dec-06,Single,1,Retail_Trade,10,675.57,2,None,OneMoney,Harare,0
SZ64926,0,12/8/2025,21/8/2025,3/10/2025,16/8/2026,1015.95,16.6,12,Monthly,Vehicle,Female,8-Feb-95,Married,4,Agriculture,79,527.49,2,Guarantor,EcoCash,Bulawayo,0
QS91719,3,26/9/2024,6/10/2024,20/11/2024,1/10/2025,2161.54,12.89,12,Monthly,Rent,Male,8-Aug-70,Married,3,Construction,21,793.59,5,Guarantor,EcoCash,Bulawayo,0
VG76750,0,20/10/2024,25/10/2024,25/11/2024,23/4/2025,2559.24,13.7,6,Monthly,Vehicle,Male,3-Nov-92,Married,5,Retail_Trade,111,,0,Property,EcoCash,Mashonaland_East,0
FA11226,2,1/10/2025,18/10/2025,12/11/2025,13/10/2026,2879.64,,12,Monthly,Working_Capital,Male,9-Jun-95,Married,1,Manufacturing,106,402.47,2,Livestock,Bank_Transfer,Mashonaland_Central,1
PP06360,0,2/8/2025,11/8/2025,21/9/2025,6/8/2026,2905.39,104.65,12,Monthly,Medical,Female,3-Sep-95,Married,6,Education,44,,5,Savings,Cash,Harare,0
IH64211,2,27/5/2025,16/6/2025,23/7/2025,13/3/2026,15135.52,97.57,9,Monthly,Working_Capital,Female,11-Mar-69,Divorced,3,,145,1951.52,0,Livestock,Bank_Transfer,Midlands,0
QE96431,1,7/10/2024,8/10/2024,12/11/2024,1/4/2026,20699.92,,18,Monthly,Business_Expansion,Male,6-Aug-97,Married,,NGO,57,1110.92,1,Guarantor,EcoCash,Midlands,0
GI00569,0,23/7/2025,25/7/2025,25/8/2025,20/7/2026,4684.57,127.77,12,Monthly,Business_Expansion,Male,7-Jan-06,Single,0,Telecom,10,544.99,4,Savings,Bank_Transfer,Masvingo,1
RI17524,4,1/11/2025,11/11/2025,9/12/2025,21/10/2029,2876.83,90.63,48,Monthly,Equipment,Female,8-Sep-92,Divorced,0,Informal_Sector,14,,1,Livestock,EcoCash,Midlands,0
FK85840,5,19/5/2025,26/5/2025,10/7/2025,22/11/2025,1133,130.55,6,Bi-Weekly,Medical,Male,28-Mar-87,Single,4,Mining,80,717.76,7,None,EcoCash,Harare,1
ZO02484,3,21/10/2024,22/10/2024,3/12/2024,17/10/2025,2320.01,105.57,12,Monthly,Rent,Male,31-Oct-69,Married,3,Education,,653.85,1,Guarantor,Bank_Transfer,Harare,0
